eurostat,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_over
TR21,228729,228074,280312,291689,258695,226707,168695,80038,39376
TR211,150869,139951,157399,181641,151051,117018,79491,36340,16167
TR212,40910,47070,66084,56631,56002,59746,48739,23756,12590
TR213,36950,41053,56829,53417,51642,49943,40465,19942,10619
TR22,192596,211986,242140,247377,252305,248529,202602,115964,53738
TR221,135469,149096,159981,170432,176796,174682,141470,81671,36978
TR222,57127,62890,82159,76945,75509,73847,61132,34293,16760
TR3,1351777,1387119,1510718,1646427,1538004,1339111,980450,516251,244343
TR31,545027,540252,631509,706595,655582,547221,397402,203831,93100
TR310,545027,540252,631509,706595,655582,547221,397402,203831,93100
TR32,392364,408457,425711,473598,455160,403215,295878,159248,79384
TR321,139190,144782,150277,158682,152835,146079,114628,61099,30174
TR322,136146,145984,145700,162285,151960,126775,87877,47409,23646
TR323,117028,117691,129734,152631,150365,130361,93373,50740,25564
TR33,414386,438410,453498,466234,427262,388675,287170,153172,71859
TR331,193863,196624,205816,219614,201304,181528,131649,67472,31773
TR332,106709,113405,106655,105899,93751,85385,62923,34552,16289
